symbol,interval,start,end,method,param,final_balance,return_pct,max_drawdown,win_rate,total_trades,profit_factor,sharpe
BTCUSDT,5m,20240101,20241231,log_percentage,0.0045,42921.03515130541,3.2921035151305413,0.11550187128622506,0.37855787476280833,1054,1.4745476415887178,
BTCUSDT,5m,20240101,20241231,log_percentage,0.005,42178.56697189421,3.2178566971894207,0.15139780957546928,0.37066974595842955,866,1.5694649722354208,
BTCUSDT,5m,20240101,20241231,log_percentage,0.0055,31462.603487830907,2.1462603487830907,0.19960109943222623,0.35983827493261455,742,1.4325657235883111,
BTCUSDT,15m,20240101,20241231,atr,"(14, 1.5)",209155.3397850925,19.915533978509252,0.0759148807091519,0.41603630862329805,1322,1.9445715266199812,
BTCUSDT,15m,20240101,20241231,atr,"(14, 2.0)",157280.3004466124,14.72803004466124,0.09520746682615173,0.4291044776119403,804,2.226810879799969,
BTCUSDT,15m,20240101,20241231,atr,"(14, 2.5)",86468.92171998374,7.646892171998374,0.07052064659757526,0.42482517482517484,572,2.000675686829726,
BTCUSDT,15m,20240101,20241231,fixed,50,45356224464.696205,4535621.446469621,0.03686374741321341,0.5838995738799954,8683,8.170396512463185,
BTCUSDT,15m,20240101,20241231,fixed,100,101400400.97730467,10139.040097730467,0.05214245933214083,0.545273631840796,5025,3.860420740890943,
BTCUSDT,15m,20240101,20241231,fixed,150,7692460.813682544,768.2460813682544,0.06320406168898594,0.4998438963471745,3203,2.888539089585854,
BTCUSDT,15m,20240101,20241231,fixed,200,1451760.7640675267,144.17607640675266,0.05627361715627412,0.4552701505757307,2258,2.575477626779586,
BTCUSDT,15m,20240101,20241231,fixed,250,462015.3639540816,45.20153639540816,0.08061719919026762,0.4379432624113475,1692,2.170228267008277,
BTCUSDT,15m,20240101,20241231,fixed,300,210824.88193462195,20.082488193462197,0.09521222504863368,0.42255639097744363,1330,1.964971873247783,
